Project Lead,Institution,Datetime
Yurii Chinenov,Hospital For Special Surgery,2026-05-07T16:57:17.697Z
Navya Shah,Karmyx BioLabs,2026-05-06T00:34:12.546Z
Laura Donlin ,Hospital for Special Surgery ,2026-05-05T21:36:08.500Z
Jeanne Latourelle,"GNS Healthcare, Inc. d/b/a Aitia",2026-05-01T00:02:05.208Z
Yuta Kochi,Institute of Science Tokyo,2026-04-30T23:58:12.375Z
Kazuyoshi Ishigaki,Keio University School of Medicine,2026-04-30T23:37:10.662Z
George Tsokos,"Beth Israel Deaconess Medical Center, Harvard Medical School",2026-04-28T23:43:56.797Z
Sean McClain,Absci,2026-04-28T23:27:40.784Z
Paul Martin,University of Manchester,2026-04-28T23:03:25.230Z
Wolfgang Merkt,"Department of Internal Medicine V, Heidelberg University Hospital",2026-04-22T22:59:38.230Z
Dr. Stanley Nelson,UCLA,2026-04-15T00:38:26.375Z
Bishoy Kamal ,Sage Bionetworks,2026-04-15T00:20:37.774Z
Jack Collora,Moderna Theraputics,2026-04-14T23:45:08.889Z
Santiago Balza Pineda,Allosite Therapeutics,2026-04-14T23:36:00.973Z
Matthew Lee,University of Pennsylvania,2026-04-14T23:27:34.113Z
Matteo Villa,Medical University of Graz,2026-04-14T23:05:37.520Z
Inez den Hond,Technical University Delft (Pattern Recognition and Bioinformatics),2026-04-14T22:06:23.594Z
Iris Lee,Washington University in Saint Louis,2026-04-13T22:10:36.779Z
Wei Wang,"University of California, San Diego",2026-04-08T00:34:04.033Z
Mark D. Robinson,University of Zurich,2026-04-03T19:17:13.886Z
Paula Ramos,Emory University,2026-03-31T20:46:51.261Z
Janna Heide,University Medical Center Hamburg-Eppendorf,2026-03-31T19:21:01.796Z
"Nilufer Ertekin-Taner, MD, PhD",Mayo Clinic Florida,2026-03-30T22:54:00.748Z
Xue Han,The Ohio State University,2026-03-18T22:25:12.104Z
Chinky Liu,Boston Children's Hospital,2026-03-06T01:05:52.017Z
Rui Wu,"First Affiliated Hospital of Nanchang University, Jiangxi Medical College",2026-03-02T21:18:57.810Z
Jaehyuk Choi,UT Southwestern Medical Center (Cellular Therapies and Cancer Immunotherapy),2026-02-24T16:51:49.964Z
Marinka Zitnik,Harvard University,2026-02-23T22:59:53.998Z
Justyna Dopierala,Nucleome Therapeutics,2026-02-19T22:45:18.484Z
Yang Yang,Boston Children's Hospital,2026-02-12T19:12:06.209Z
Rachel Sparks,AstraZeneca,2026-02-10T19:24:58.126Z
Dr U Vinay Kumar,"Poornima University, Jaipur, India",2026-02-06T21:42:30.615Z
Jeremy Tilstra,University of Pittsburgh,2026-02-06T21:13:45.217Z
Rasa Elmentaite,Ensocell Therapeutics,2026-02-06T20:36:17.702Z
Kathryn Yost,NorthPort Bio Ltd,2026-02-06T16:50:09.065Z
Shunya Tsuji,"Joint Faculty of Veterinary Medicine, Yamaguchi University",2026-02-04T17:17:35.166Z
Tetsuo Hasegawa,University of Cambridge,2026-01-29T20:22:09.657Z
Niket Rajeevan,Immunara,2026-01-22T22:38:35.459Z
Lynn Hassman,University of Colorado,2026-01-20T17:30:10.603Z
Arjun Baghela,Merck Research Labs,2026-01-13T23:41:11.084Z
Noriko Komatsu,Institute of Science Tokyo,2026-01-09T21:22:16.890Z
Baohong Zhao,Hospital For Special Surgery,2026-01-07T17:25:18.312Z
Tomohisa Okamura,"The University of Tokyo, Allergy and Rheumatology",2026-01-05T20:01:09.846Z
James Wing,"Immunology Frontier Research Center, The University of Osaka",2025-12-19T22:29:54.520Z
Chiara Romagnani,Charite Medical University Berlin,2025-12-19T21:59:08.630Z
John Tsang,Yale University,2025-12-15T22:50:50.674Z
Mohamed Mysara,Cairo University,2025-12-09T22:17:54.199Z
